-Node_id | hop_end_count | -
13 | 2 | 0
19 | 2 | 0
37 | 2 | 0
49 | 2 | 0
67 | 2 | 0
79 | 4 | 0
109 | 2 | 0
115 | 2 | 0
139 | 2 | 0
151 | 2 | 0
169 | 2 | 0
199 | 2 | 0
205 | 2 | 0
217 | 2 | 0
223 | 2 | 0
229 | 2 | 0
241 | 2 | 0
265 | 2 | 0
277 | 2 | 0
301 | 2 | 0
307 | 2 | 0
331 | 2 | 0
349 | 2 | 0
373 | 2 | 0
379 | 2 | 0
409 | 2 | 0
427 | 2 | 0
433 | 2 | 0
445 | 2 | 0
457 | 2 | 0
469 | 4 | 0
475 | 2 | 0
481 | 2 | 0
487 | 2 | 0
493 | 2 | 0
499 | 2 | 0
505 | 2 | 0
511 | 2 | 0
517 | 2 | 0
523 | 2 | 0
529 | 2 | 0
535 | 2 | 0
541 | 2 | 0
547 | 2 | 0
553 | 2 | 0
559 | 2 | 0
565 | 2 | 0
583 | 2 | 0
595 | 2 | 0
601 | 2 | 0
625 | 2 | 0
631 | 2 | 0
649 | 2 | 0
679 | 2 | 0
691 | 2 | 0
697 | 2 | 0
703 | 2 | 0
709 | 2 | 0
739 | 2 | 0
745 | 2 | 0
751 | 2 | 0
757 | 2 | 0
763 | 2 | 0
805 | 2 | 0
811 | 2 | 0
823 | 2 | 0
829 | 2 | 0
835 | 2 | 0
841 | 2 | 0
847 | 2 | 0
853 | 2 | 0
859 | 2 | 0
949 | 2 | 0
